孪	孿
孫	孙
孭	𧴯
孰	塾
孳	孶 𡥝
孵	孚
孶	孳
學	斈 学
孼	孽
孽	孼
孾	嬰
孿	孪
宁	寧
宂	冗
它	牠 佗
宄	𡧫 𡧌 𠬚
宅	宅 𡧪 㡯
宇	穻
守	𡬮 𡬴
完	烟 煙 寬
宍	肉
宐	宜
宔	主
官	𠕍
定	㱏
宛	惌
宜	冝 𡪀 𡨆 𠣨 宐
宝	寳 寶
实	實
実	實
宠	寵
审	審
宣	𡩦
宪	憲
宫	宮
宮	宫
宰	𡪤 𡨧 𠈾
宲	實
宴	讌
宵	𣆺
家	傢 𠖔 𡩅 𡧚
宷	審
容	𠕺
宻	密
宼	寇
宽	寬
宾	賓
宿	㝛 夙
寃	冤
寅	𦦚 𡓵 㝙 𢁐 𡩪
密	宻
寇	宼
寈	靑
富	冨
寍	寧
寑	寢
寒	𡫮 𡫾
寓	庽
寔	實
寕	寧 寜
寗	甯
寘	置
寚	寶 宝 寳
寛	寬
寜	寧 寕
寝	寢
察	詧
寠	窶
寡	關
寢	𡨦 𡫒 寑 寝
實	実 宲 𡾍 寔 实
寧	寍 𡨴 宁
寨	砦
審	宷 审
寫	冩 写
寬	寛 完 宽
寮	寮
寳	寶 宝
寴	親
寵	𠖥 宠
寶	宝 寳 寚 𠋾 珤
寸	吋
对	對
寻	尋
导	導
寿	壽 夀
尀	叵
封	𡉘 𡊽
専	專
尃	旉 敷
尅	剋
将	𤕭 將
將	𤕭 𢪇 将 畺
專	耑 𠧡 𠧢 𡴁 专
尉	㷉 熨
尋	𡬻 寻
對	对
導	𡭎 导
尒	爾 尔
尓	爾
尔	尒 爾
尗	叔
尘	塵
尙	尚
尚	尙
尛	麼
尜	嘎
尝	嘗
尠	鮮
尢	尣
尣	尢
尤	怣
尥	尦
尦	尥
尧	堯
尨	龍 狵
尩	㑌
尪	尫
尫	尪
尭	堯
尰	腫
尲	尷
尴	尷
尷	尲 尴
尸	屍
尹	𢃵 𢃹 𢃁 𢃂
尻	䯌
尽	盡 儘
尾	𡱕 𡱓 𡲵
尿	尿 溺
层	層
屃	屓
居	㞐 㝒
屆	曁 艐 届
屈	𡕜 𡲶
屉	屜
届	屆
屋	𦤿
屍	尸
屏	摒
屓	屃
展	㠭
屛	摒
屜	𡲕 屉
属	𡱆 屬
屡	屢
屢	屢 𡜸 屡
屣	蹝 躧
層	层
履	履 𡲟 𩕎
屦	屨
屨	屦
屩	蹺
屬	属 𡱆
屭	屓
屮	草
屰	戟
屿	嶼
岁	亗 歲 𡻕
岂	豈
岐	歧 𨙾 㟚
岖	嶇
岗	岡 崗
岘	峴
岙	嶴
岚	嵐
岛	島
岡	𠆼 崗 冈
岨	砠
岩	巖
岫	峀
岭	岺 嶺
岳	嶽
岺	岭
岽	崠 崬
岿	巋
峀	岫
峄	嶧
峒	洞
峡	峽
峣	嶢
峤	嶠
峥	崢
峦	巒
峨	峩
峩	峨
峭	陗
峯	峰
峰	峯
峴	岘
島	嶋 岛
峺	硬
峽	峡
崂	嶗
崃	崍
崄	嶮
崇	嵩
崈	崇
崋	華 𡼙
崍	崃
崎	埼
崐	崑
崑	崐
崒	崪
崔	磪
崕	崖
崖	厓
崗	岡 岗
崘	崙
崙	崙 侖 崘
崟	嶔
崠	岽
崢	峥
崧	嵩
崩	𨹹
崪	崒
崬	岽
崭	嶄
嵆	嵇
嵐	嵐 岚
嵗	歲
嵘	嶸
嵚	嶔
嵜	崎
嵝	嶁
嵠	谿
嵩	崇 崧
嵯	嵳
嵳	嵯
嶁	嵝
嶃	磛
嶄	巉 崭
嶇	㠊 岖
嶋	島
嶌	島
嶎	蔚
嶔	崟 嵚
嶗	崂
嶝	磴
嶠	峤
嶢	峣
嶧	峄
嶮	崄
嶳	地
嶴	岙
嶸	嵘
嶺	嶺 阾 岭
嶼	屿
嶽	岳 𡶓 𡶳 𡴳
巅	巔
巉	嶄
巋	岿
巌	巖
巍	魏
巒	峦
巔	巓 巅
巖	巌 岩
巛	坤 川
巜	澮
川	巛
州	𠄓 𠃕 𠛏 𣧓
巠	𡿱
巡	廵 順
巢	巣
巣	巢
巤	鬣 剌
工	𢀚 㣉 𠜝
巧	丂 𢩨
巨	鉅 𢀑 㠪 𠫕
巩	鞏
巫	𢍮 𢀣
差	嗟 𢀩
巯	巰
巰	巯
己	𢀒
巴	笆
巵	卮
巺	巽
巻	捲
巽	巺 𢁅
帀	匝 迊
币	幣
布	佈 㱛
帅	帥
帆	㠶 𩗋 拚
师	師
帋	紙
希	稀 𠬹
帏	幃
帐	帳
帒	袋
帘	簾
帙	袠
帚	菷 箒
帜	幟
帝	𢂇 𠫦
帡	帲
帥	䢦 帅
带	帶
帧	幀
師	𠵀 𠦵 𢂖 𩇱 师
帬	裙
席	蓆 𠩛 𥔆
帮	幫 幇
帯	帶
帰	歸
帱	幬
帲	帡
帳	賬 帐
帶	帯 带
帷	𠥎
帻	幘
帼	幗
幀	帧
幂	鼏 冪
幃	𠥎 帏
幇	幫 帮
幕	幙
幗	帼
幘	帻
幙	幕
幚	幫
幞	襮
